"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-06-30,"Brownlee Park","MI","Battle Creek","Calhoun",9384,56200,0.056390977443609,0.144602851323829,0.325471698113208,0.00951855376476329,-0.0046814411105085,553,"2005-08","2005-Q3",65200,-0.138036809815951,"2004-04","2013-03","2013-Q1",41100,-0.369631901840491
2014-06-30,"Rodney","MI","Big Rapids","Mecosta",9385,100400,0.0513089005235602,0.099671412924425,0.119286510590858,0.0350835360076835,0.00586193499818077,750,"2002-05","2002-Q2",133300,-0.246811702925731,"1999-04","2012-11","2012-Q4",80000,-0.399849962490623
2014-06-30,"Greenwich Township","NJ","Philadelphia","Gloucester",9386,169100,0.0180614087898856,-0.00177095631641086,0.0542394014962594,-0.0264967010492537,0.00874452582770502,416,"2006-12","2006-Q4",228900,-0.261249453910004,"2005-01","1996-04","1996-Q2",103300,-0.54871122761031
2014-06-30,"Sulphur Springs","AR","Fayetteville","Benton",9387,90000,0.0123734533183352,0.0563380281690141,0.171875,0.0084313598283412,0.0174537176781575,531,"2014-06","2014-Q2",90000,0,"2014-06",,,,
2014-06-30,"Jefferson Township","PA","Youngstown","Mercer",9388,127200,0.004739336492891,0.0241545893719807,0.136729222520107,0.0309863006622466,,650,"2014-06","2014-Q2",127200,0,"2014-06",,,,
2014-06-30,"Port Edwards","WI","Marshfield","Wood",9389,88900,0.00908059023836549,0.0277456647398844,0.0265588914549654,0.011403599651385,0.00520798876274298,672,"2008-01","2008-Q1",100200,-0.112774451097804,"2006-03","1997-08","1997-Q3",67500,-0.326347305389222
2014-06-30,"Point Reyes Station","CA","San Francisco","Marin",9390,842500,-0.00672011318085357,-0.0178363254837958,0.0333619526554642,0.0462300815027492,0.0148958460103761,720,"2014-03","2014-Q1",857800,-0.0178363254837958,"2014-01","1996-05","1996-Q2",274800,-0.679645605036139
2014-06-30,"Huntington","AR","Fort Smith","Sebastian",9391,96400,-0.017329255861366,-0.0427010923535253,-0.0153217568947906,-0.00650991071368268,0.0176837765049185,470,"2007-08","2007-Q3",105400,-0.0853889943074004,"2007-05","1996-09","1996-Q3",56800,-0.461100569259962
2014-06-30,"Como","WI","Whitewater","Walworth",9392,145000,0.0189739985945186,0.0740740740740741,0.206322795341098,0.00632517066746208,0.0160964946947491,2616,"2007-06","2007-Q2",149200,-0.0281501340482574,"2006-08","1996-10","1996-Q4",86100,-0.422922252010724
2014-06-30,"Montague","MA","Springfield","Franklin",9393,215800,0.000927643784786642,0.0188857412653447,0.0511446663419386,0.0116075972503229,0.0129208790765045,622,"2006-05","2006-Q2",239100,-0.0974487662066081,"2005-04","1997-09","1997-Q3",116700,-0.511919698870765
